uuid,biomassPlant,biomassPlant_final,biomassFruit,biomassFruit_final,biomassInternode,biomassInternode_final,internodeNSC,internodeNSC_final,fraction_fruitUnloading,fraction_structuralRootUnloading,fraction_internodeUnloading,phloemSugarConcentration,harvest_index,meanFruitDW,meanFruitSc,Ta,cca,totalFruitNumber,incomingRadiation,leafArea,Tmax,Tmin,ENDING_LEAF_NUMBER,vineType
c59e5834-fe57-4a14-8019-ace1a755e757,125.21353757232293,85415.06645932082,66.52458710589343,18056.862833353804,275.20665916308593,49331.76876536273,102.40621710415192,1101.4368329351896,0.23040460447990313,0.004595708748032407,0.49094360281797145,0.01851535955014102,0.21140720480739847,164.15329708333334,0.12934831958333334,20.0115655155724,1200.0,110.0,271.51725589225595,0.2509799004147781,25.0,15.0,12.0,spur
c5af5c29-9887-4338-b234-1d2dd5348170,129.16393968153855,76385.50653051962,64.83746857272415,8203.98771480118,273.90120158709635,50022.84266374188,102.63918278175817,1118.233625028259,0.0926545415301978,0.00517025832014941,0.5255017513301766,0.01830903979971531,0.10740669047778484,164.07975375,0.13065561291666666,22.505782674242425,900.0,50.0,678.7931397306396,0.2509799004147781,25.0,20.0,12.0,spur
c6734927-aa41-4c05-b01c-948be62cd352,96.36006229980471,58237.2546411964,62.1511783149858,11275.134664960948,175.72089947072314,34407.43451492712,46.911241161244796,773.0251797837853,0.16481976055318814,0.006999810309290824,0.49788262619191914,0.0170788856493991,0.19361116564432335,161.07335041666667,0.12631585375,20.0115655155724,650.0,70.0,814.5517676767677,0.16982541343694404,25.0,15.0,9.0,spur
c67593ca-b354-4ada-abc9-9a1e772abc91,99.41343076006184,60032.20284215916,61.301240020952754,11242.2524807848,187.14948185631744,35985.34792177852,53.97719218176411,808.5044173763386,0.14083328836726638,0.0070136637220328275,0.5012340425652357,0.017351058107097344,0.1872755140424379,160.60360749999998,0.12718135666666666,22.505782674242425,1200.0,70.0,678.7931397306396,0.16982541343694404,25.0,20.0,9.0,spur
c67953e4-87f2-49b5-ae9d-c0742c6bf67f,121.36565743501325,83247.66542602405,63.495315936432895,17655.908970357155,272.03981625925627,48554.24229048589,105.06492132895585,1086.1764329375785,0.20098545232249576,0.004961443115888048,0.49388578481765577,0.018359709583146033,0.2120951412146651,160.50826208333334,0.12983754458333333,25.011565351010102,400.0,110.0,271.51725589225595,0.2509799004147781,30.0,20.0,12.0,spur
c783df9f-0a3a-4dcb-b070-2f1018cd727f,44.407747638907466,30392.01543565848,52.42103120294469,10489.329121082787,44.78699989065905,15719.023769892667,-21.07274294233046,361.7486620929473,0.24176419897295875,0.017799402837752526,0.5139861620537667,0.013779656997800597,0.345135773586579,149.84755916666668,0.117840485125,22.517348022727273,400.0,70.0,407.27588383838383,0.04796556947260091,30.0,15.0,3.0,spur
c79640c7-6a9b-4fe9-87d5-85d04078a43e,125.14470603777801,79924.37321086584,64.03628741842356,11431.830534073873,274.78531968851667,50159.67887412337,103.07819356007053,1121.2549950597001,0.12715102817769364,0.004976344316119529,0.5139333427005472,0.018326427168123032,0.14303849949757833,163.31186499999998,0.12988143208333333,22.505782674242425,1200.0,70.0,678.7931397306396,0.2509799004147781,25.0,20.0,12.0,spur
c7a97a1b-1bda-4f91-ad7b-e2980f05139d,138.65244107914066,76479.67855850207,70.81680591619073,8438.445898333759,281.57217505420465,50275.010194720955,109.21958689534137,1122.5303501836377,0.09909000892411617,0.005316539492371633,0.5259602126551979,0.01957108728895077,0.11033986900384567,168.76891625,0.13818512791666668,25.011565351010102,650.0,50.0,271.51725589225595,0.2509799004147781,30.0,20.0,12.0,spur
c807ee6a-257f-49a3-a01e-d5a456d00840,66.69668210864832,42058.83922427502,56.7835214982626,10914.619185676795,97.49930750290518,23122.38220990101,4.95873828500343,524.9595385929105,0.1915521188424874,0.010261132449515993,0.4815812337953493,0.015111864483201435,0.2595114556010694,155.92313041666668,0.12389976183333333,22.517348022727273,900.0,70.0,678.7931397306396,0.10036192065991252,30.0,15.0,6.0,spur
c8426515-c8bf-4252-954f-a480d3323e0d,45.38119082338671,36364.674342612634,52.30036121324103,16464.752459308103,44.00601557889338,15615.981012203245,-20.381598898380783,359.8307622686611,0.29779117227430557,0.01596312952488426,0.4574008714722222,0.013508340802611018,0.452769046191031,149.67956833333332,0.118893076375,25.011565351010102,650.0,110.0,271.51725589225595,0.04796556947260091,30.0,20.0,3.0,spur
c84ba1f8-479c-4609-ad1c-546e226e241b,133.81687125728106,80983.38842189577,67.03036452264784,11597.202501952124,286.16426208727626,51334.5644993964,110.3702399896355,1146.838281830366,0.128432363013952,0.0050081571177609426,0.5150282065068392,0.018743169275082693,0.1432098982097199,165.67432125000002,0.132240825,22.505782674242425,900.0,70.0,407.27588383838383,0.2509799004147781,25.0,20.0,12.0,spur
c8a46b78-69f7-472c-8899-6adb4bc64d82,93.73413131049108,58786.724504167265,61.58551735525934,11274.563935559721,175.730961905739,34555.977375349816,47.41123148699548,777.767877375764,0.1471265998469592,0.007036026982733586,0.49766726998327004,0.017769053381980572,0.19179277975482376,161.06519791666668,0.13035358958333335,25.011565351010102,1200.0,70.0,678.7931397306396,0.16982541343694404,30.0,20.0,9.0,spur
c8c3f59c-7772-4a51-ad3b-133ff6d0c94c,44.706190852143756,33451.69860977792,53.34077896534766,13598.227959001233,43.20388525107593,15563.947005819258,-22.18629561002666,357.8378990461636,0.28933146226567763,0.016465760406818183,0.46289971297790394,0.01359151515351789,0.4065045651836572,151.09142291666666,0.11906943854166667,22.517348022727273,650.0,90.0,407.27588383838383,0.04796556947260091,30.0,15.0,3.0,spur
c8cae66a-e792-42fd-8637-b487a90ffeed,76.08261066090698,43830.268674186285,59.3595612020575,11052.979391281806,113.16993350641356,24879.192935486222,14.922587010586104,563.2282757493746,0.16289675848653196,0.010547396609901095,0.4928318745431397,0.015569933870302076,0.25218028676602694,157.89970416666668,0.12449088312500001,22.505782674242425,900.0,70.0,271.51725589225595,0.10036192065991252,25.0,20.0,6.0,spur
c90be59c-d4d7-4a3e-a17e-741ec69ff45e,116.81355038202936,78778.83765860845,62.87393091533484,14507.087107610436,255.32046824261147,46995.26241738093,91.66681625689111,1050.576393749344,0.18954462754185608,0.004908967663573232,0.5012020545747053,0.017503052689911792,0.18415463195535664,161.18985583333333,0.12646686708333335,20.0115655155724,400.0,90.0,678.7931397306396,0.2509799004147781,25.0,15.0,12.0,spur
