age_d,age_h,T,H_a,psi_x,Cpm,rho
10 ,9,17.3,64.7,-6.02921,0.177021793,308.4186286
10 ,10,19.7,49,-7.972955678,0.292433538,308.1574108
10 ,11,20.4,46.3,-9.642087932,0.39153985,307.896193
10 ,12,21.7,43,-10.92285816,0.467586799,307.6349752
10 ,13,22.3,39.8,-11.72798398,0.515391909,307.3737575
10 ,14,22.7,37.7,-12.0025974,0.531697342,307.1125397
10 ,15,23,37.7,-11.72798398,0.515391909,306.8513219
10 ,16,22.9,37.3,-10.92285816,0.467586799,306.5901042
10 ,17,23.1,35.6,-9.642087932,0.39153985,306.3288864
10 ,18,22,38.5,-7.972955678,0.292433538,306.0676686
10 ,19,19.6,48,-6.02921,0.177021793,305.8064508
10 ,20,18.1,50.3,-3.943313953,0.053169734,305.5452331
10 ,21,15.9,57.5,-3.943313953,0.053169734,305.2840153
10 ,22,14.2,64,-3.943313953,0.053169734,305.0227975
10 ,23,11.8,74.3,-3.943313953,0.053169734,304.7615798
10 ,24,9.8,85.5,-3.943313953,0.053169734,304.500362
11 ,1,9,89.1,-3.943313953,0.053169734,304.2391442
11 ,2,8.2,91.8,-3.943313953,0.053169734,303.9779264
11 ,3,7.4,94.2,-3.943313953,0.053169734,303.7167087
11 ,4,7.8,93.5,-3.943313953,0.053169734,303.4554909
11 ,5,7.3,94.8,-3.943313953,0.053169734,303.1942731
11 ,6,7.1,95.9,-3.943313953,0.053169734,302.9330554
11 ,7,7.5,96.3,-3.943313953,0.053169734,302.6718376
11 ,8,11.7,83.1,-3.943313953,0.053169734,302.4106198
11 ,9,14.8,68.6,-6.02921,0.177021793,302.149402
11 ,10,17.2,59.3,-7.972955678,0.292433538,301.8881843
11 ,11,19.1,51.6,-9.642087932,0.39153985,301.6269665
11 ,12,20.1,46.6,-10.92285816,0.467586799,301.3657487
11 ,13,19.7,54.9,-11.72798398,0.515391909,301.1045309
11 ,14,20.1,56.6,-12.0025974,0.531697342,300.8433132
11 ,15,19.8,57.3,-11.72798398,0.515391909,300.5820954
11 ,16,19.6,54.4,-10.92285816,0.467586799,300.3208776
11 ,17,18.9,57.5,-9.642087932,0.39153985,300.0596599
11 ,18,18.6,59.6,-7.972955678,0.292433538,299.7984421
11 ,19,17.9,67.2,-6.02921,0.177021793,299.5372243
11 ,20,16.8,70.5,-3.943313953,0.053169734,299.2760065
11 ,21,15,82.4,-3.943313953,0.053169734,299.0147888
11 ,22,13.8,89.9,-3.943313953,0.053169734,298.753571
11 ,23,13.1,92.9,-3.943313953,0.053169734,298.4923532
