timestamp,year,dayOfYear,hourOfDay,latitude,longitude,rowDistance,plantDistance,rowOrientation,scenario,age_degreeDay,age_days,incomingRadiation,azimuth,zenith,solarElevation,leafAreaPerPlant,LAI,hourlyAbsorbedRadiation,fabsPlant,fparPlant,fabsSoil,fparSoil,fparGround,k,k_ground,fPARLow,fPARMid,fPARUp,fPARGlobal,fDiffuseLight,plantDensity,simuuid
2012-07-19T13:30:00,2012,201,13,44.786945,-0.579722,0.2,0.2,90.0,0,89.48624472075613,121.541664,180.0,190.9766268436435,32.65242366540708,57.34757633459292,0.29530984003311755,7.382746000827938,0.1118322999970052,0.7852422628344013,1.2467113162509722,0.22100252532357895,0.10743771915573129,0.01,NaN,0.001361327594417356,0.0,0.11459957594584269,0.24386146899827513,0.45916779644904315,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T14:30:00,2012,201,14,44.786945,-0.579722,0.2,0.2,90.0,0,89.50280614256626,121.583336,160.0,215.69437186924438,36.918138871664496,53.081861128335504,0.29530984003311755,7.382746000827938,0.09051500287535423,0.7150056950472716,1.1240680869634256,0.21400447505944187,0.10386130988928297,0.01,NaN,0.001361327594417356,0.0,0.07162597580371177,0.24252372633782476,0.4566390643960969,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T15:30:00,2012,201,15,44.786945,-0.579722,0.2,0.2,90.0,0,89.51853983449605,121.625,120.0,234.99423141753263,44.52225232496073,45.47774767503927,0.29530984003311755,7.382746000827938,0.06733566160904347,0.7092066508435324,1.1146522154487208,0.42094317953795396,0.20208634164867698,0.01,NaN,0.001361327594417356,0.0,0.03593975173191313,0.2658672531195197,0.45038397312417316,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T16:30:00,2012,201,16,44.786945,-0.579722,0.2,0.2,90.0,0,89.53317486938958,121.666664,80.0,249.83590496773917,53.962642977193326,36.037357022806674,0.29530984003311755,7.382746000827938,0.05036194840082481,0.7956488709358758,1.2669595521448809,0.3463733564042965,0.16919489887573191,0.01,NaN,0.001361327594417356,0.0,0.12222493798644456,0.24385729321727048,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T17:30:00,2012,201,17,44.786945,-0.579722,0.2,0.2,90.0,0,89.54808390977867,121.708336,40.0,261.97523621000835,64.27620766920074,25.723792330799256,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T18:30:00,2012,201,18,44.786945,-0.579722,0.2,0.2,90.0,0,89.56190014225234,121.75,10.0,272.74626862798186,74.88101487150954,15.118985128490465,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T19:30:00,2012,201,19,44.786945,-0.579722,0.2,0.2,90.0,0,89.57463376184558,121.791664,0.0,283.0821957870359,85.30972906454693,4.690270935453071,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T20:30:00,2012,201,20,44.786945,-0.579722,0.2,0.2,90.0,0,89.58683077670355,121.833336,0.0,293.70326793379866,95.61878961323285,-5.618789613232849,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T21:30:00,2012,201,21,44.786945,-0.579722,0.2,0.2,90.0,0,89.59902779156153,121.875,0.0,305.2396076894106,104.91946532350387,-14.919465323503871,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T22:30:00,2012,201,22,44.786945,-0.579722,0.2,0.2,90.0,0,89.61042680889099,121.916664,0.0,318.2531626088378,112.85547807503126,-22.855478075031257,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-19T23:30:00,2012,201,23,44.786945,-0.579722,0.2,0.2,90.0,0,89.62129897473606,121.958336,0.0,333.1094348161023,118.86951478873105,-28.869514788731053,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-20T00:30:00,2012,202,0,44.786945,-0.579722,0.2,0.2,90.0,0,89.62961353874917,122.0,0.0,349.6715906759514,122.2856086115116,-32.285608611511606,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-20T01:30:00,2012,202,1,44.786945,-0.579722,0.2,0.2,90.0,0,89.63694873937871,122.041664,0.0,7.043205081570383,122.6053524703346,-32.605352470334594,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
