uuid,baseScenarioFile,Tmax,Tmin,cca,inputPAR,ENDING_LEAF_NUMBER
57937590-95ef-4b2f-879b-e0291ed43d46,model.options.HGU.cane.20.json,27.5,17.5,900,1000,12
7c48e8ff-f42e-40d3-b0ec-4ba5f399591c,model.options.HGU.cane.20.json,27.5,17.5,900,1200,6
147279cc-5b5e-45e7-982e-ca450a368ccc,model.options.HGU.cane.20.json,27.5,17.5,900,1200,9
ac1ae9cf-68e8-4528-80a4-e822dcbbdfbc,model.options.HGU.cane.20.json,27.5,17.5,900,1200,12
7b9f951c-2146-4a4f-a498-054afc26b414,model.options.HGU.cane.20.json,27.5,17.5,1200,800,6
11524c18-3788-4abf-8ef9-bd0101dc9c30,model.options.HGU.cane.20.json,27.5,17.5,1200,800,9
2bb29784-f322-405b-9965-3d2bf9c7676c,model.options.HGU.cane.20.json,27.5,17.5,1200,800,12
453ee3ab-57fc-4e56-8df5-c2cd7dc61398,model.options.HGU.cane.20.json,27.5,17.5,1200,1000,6
7bb0339a-d123-4fb8-9d84-66c52f3a0fbe,model.options.HGU.cane.20.json,27.5,17.5,1200,1000,9
f5c7e600-8908-4ac3-a467-f9a68fe93124,model.options.HGU.cane.20.json,27.5,17.5,1200,1000,12
04b09338-11dd-406d-aab4-50b9048ad286,model.options.HGU.cane.20.json,27.5,17.5,1200,1200,6
ced216f2-9b7e-4f6b-a397-6f1335d4ccd0,model.options.HGU.cane.20.json,27.5,17.5,1200,1200,9
c4f80dd7-4e29-489b-b152-a13cc9df7384,model.options.HGU.cane.20.json,27.5,17.5,1200,1200,12
3b6d333d-17fc-4cd3-bf25-8f4da2e397bb,model.options.HGU.cane.20.json,27.5,20,400,800,6
acc9a320-b032-4c45-8fdf-a5f4f0053064,model.options.HGU.cane.20.json,27.5,20,400,800,9
6e2230ae-5481-4c93-b612-393fb5c2f480,model.options.HGU.cane.20.json,27.5,20,400,800,12
e2e5badf-93e6-4187-a9ed-694c079010c1,model.options.HGU.cane.20.json,27.5,20,400,1000,6
9097b096-0123-4c84-89d3-d0c95fcc3263,model.options.HGU.cane.20.json,27.5,20,400,1000,9
5a0e996c-9670-471b-a13b-da91367ec75b,model.options.HGU.cane.20.json,27.5,20,400,1000,12
3c3ec6bb-673e-466c-873e-33fecc91dd75,model.options.HGU.cane.20.json,27.5,20,400,1200,6
582f6315-9ee0-4137-aed4-6dd818f02b16,model.options.HGU.cane.20.json,27.5,20,400,1200,9
fc4b79fd-73a0-427e-84c1-27b51e52c31c,model.options.HGU.cane.20.json,27.5,20,400,1200,12
0c7b2123-97cf-4815-ade0-c2f19247f805,model.options.HGU.cane.20.json,27.5,20,650,800,6
ae783112-1baf-4d2f-a86b-9a4a3bcbe98b,model.options.HGU.cane.20.json,27.5,20,650,800,9
5ad80a87-892f-4438-90bd-11f55972cda5,model.options.HGU.cane.20.json,27.5,20,650,800,12
e72e211d-642e-4749-9555-5a074e239375,model.options.HGU.cane.20.json,27.5,20,650,1000,6
bd815da7-f37c-4320-9aff-8abb5f46600d,model.options.HGU.cane.20.json,27.5,20,650,1000,9
