station,year,day,hour,temp,rh,totalRadiation,CO2,wind,soilWater_Potential,soilWater_content,rainfall
Bordeaux,2012,201,12,26.4035,0.5443,474.3326924,400,1.1,-0.05,,
Bordeaux,2012,201,13,27.94,0.52935,754.4730769,400,1.1,-0.05,,
Bordeaux,2012,201,14,28.103,0.50275,518.2057692,400,1.1,-0.05,,
Bordeaux,2012,201,15,27.6705,0.5582,488.7173077,400,1.1,-0.05,,
Bordeaux,2012,201,16,27.4945,0.5878,328.3288461,400,1.1,-0.05,,
Bordeaux,2012,201,17,27.5145,0.5925,312.1461539,400,1.1,-0.05,,
Bordeaux,2012,201,18,26.606,0.53555,243.7832692,400,1.1,-0.05,,
Bordeaux,2012,201,19,26.046,0.52795,145.7521154,400,1.1,-0.05,,
Bordeaux,2012,201,20,24.702,0.59215,58.86903846,400,1.1,-0.05,,
Bordeaux,2012,201,21,23.3,0.66845,11.93923077,400,1.1,-0.05,,
Bordeaux,2012,201,22,22.246,0.7497,0.143846154,400,1.1,-0.05,,
Bordeaux,2012,201,23,21.375,0.79325,0.035961539,400,1.1,-0.05,,
Bordeaux,2012,202,0,20.8895,0.8115,0.107884615,400,1.1,-0.05,,
Bordeaux,2012,202,1,20.486,0.80885,0,400,1.1,-0.05,,
Bordeaux,2012,202,2,19.8625,0.8023,0,400,1.1,-0.05,,
Bordeaux,2012,202,3,19.466,0.813,0.035961539,400,1.1,-0.05,,
Bordeaux,2012,202,4,19.1985,0.817,0.035961539,400,1.1,-0.05,,
Bordeaux,2012,202,5,18.96,0.818,0.035961539,400,1.1,-0.05,,
Bordeaux,2012,202,6,18.838,0.827,5.286346154,400,1.1,-0.05,,
Bordeaux,2012,202,7,19.552,0.839,73.00192308,400,1.1,-0.05,,
Bordeaux,2012,202,8,21.8555,0.7764,219.3653846,400,1.1,-0.05,,
Bordeaux,2012,202,9,23.382,0.63885,204.1176924,400,1.1,-0.05,,
Bordeaux,2012,202,10,23.614,0.5982,246.9838461,400,1.1,-0.05,,
Bordeaux,2012,202,11,25.6685,0.50025,607.0307692,400,1.1,-0.05,,
Bordeaux,2012,202,12,27.763,0.4757,677.1557692,400,1.1,-0.05,,
Bordeaux,2012,202,13,28.2745,0.4805,808.4153846,400,1.1,-0.05,,
Bordeaux,2012,202,14,27.9985,0.4489,498.0673077,400,1.1,-0.05,,
Bordeaux,2012,202,15,29.316,0.42235,1609.032869,400,1.1,-0.05,,
Bordeaux,2012,202,16,28.13,0.44655,496.1613461,400,1.1,-0.05,,
Bordeaux,2012,202,17,27.6085,0.4769,444.8442308,400,1.1,-0.05,,
Bordeaux,2012,202,18,26.9235,0.47525,261.9438461,400,1.1,-0.05,,
Bordeaux,2012,202,19,25.827,0.46445,141.1130769,400,1.1,-0.05,,
Bordeaux,2012,202,20,24.626,0.5106,55.81230769,400,1.1,-0.05,,
Bordeaux,2012,202,21,23.331,0.58335,9.278076924,400,1.1,-0.05,,
Bordeaux,2012,202,22,22.3435,0.69135,0.404279615,400,1.1,-0.05,,
Bordeaux,2012,202,23,21.6245,0.77505,0,400,1.1,-0.05,,
Bordeaux,2012,203,0,20.7525,0.7977,0.367526924,400,1.1,-0.05,,
Bordeaux,2012,203,1,20.0625,0.8036,0.147010769,400,1.1,-0.05,,
Bordeaux,2012,203,2,19.5305,0.8095,0.661548461,400,1.1,-0.05,,
Bordeaux,2012,203,3,19.072,0.811,0.404279615,400,1.1,-0.05,,
Bordeaux,2012,203,4,18.6305,0.8075,0.294021539,400,1.1,-0.05,,
Bordeaux,2012,203,5,18.2095,0.805,0.110258077,400,1.1,-0.05,,
Bordeaux,2012,203,6,17.9415,0.8085,6.041538461,400,1.1,-0.05,,
Bordeaux,2012,203,7,18.9145,0.822,68.61461539,400,1.1,-0.05,,
Bordeaux,2012,203,8,22.8965,0.71305,213.2519231,400,1.1,-0.05,,
Bordeaux,2012,203,9,27.7585,0.56645,740.4480769,400,1.1,-0.05,,
