id,plant_id,organ_id,organ_type,order,segment_rank,diameter,length,parent,x,y,z,Axis2ID,Axis3ID,Axis4ID,Axis5ID,Axis6ID,Axis7ID,Age
1282,1,6,AnnualShoot_B_V#29,8,29,1.628349344,1.606559302,1281,-1.50917275,3.064291781,231.022819,2,3,38,2,2,2,24
1283,1,6,AnnualShoot_B_V#30,8,30,1.570744689,1.606559302,1282,-2.067409472,2.359080884,229.6916233,2,3,38,2,2,2,23
1284,1,6,AnnualShoot_B_V#31,8,31,1.503784319,1.606559302,1283,-2.398688872,2.023711074,228.1557802,2,3,38,2,2,2,22
1285,1,6,AnnualShoot_B_V#32,8,32,1.447920078,1.606559302,1284,-2.646165271,1.824235958,226.5809793,2,3,38,2,2,2,21
1286,1,6,AnnualShoot_B_V#33,8,33,1.386751294,1.606559302,1285,-2.728171595,1.762268506,224.9777115,2,3,38,2,2,2,20
1287,1,6,AnnualShoot_B_V#34,8,34,1.336738704,1.606559302,1286,-2.60657269,1.850306228,223.3781816,2,3,38,2,2,2,19
1288,1,6,AnnualShoot_B_V#35,8,35,1.285940295,1.606559302,1287,-2.26179746,2.081873625,221.8262346,2,3,38,2,2,2,18
1289,1,6,AnnualShoot_B_V#36,8,36,2.168024774,1.606559302,1261,-0.754372466,6.209548507,233.4633383,2,3,38,2,2,2,17
1290,1,6,AnnualShoot_B_V#37,8,37,1.911260706,1.606559302,1289,-0.016639491,5.354805985,232.3204481,2,3,38,2,2,2,16
1291,1,6,AnnualShoot_B_V#38,8,38,1.831736197,1.606559302,1290,0.610996643,4.648061914,231.0213643,2,3,38,2,2,2,14
1292,1,5,oldShoot,4,1,0.873300658,16.1621188,379,-1.304572017,-2.261128408,250.0356608,2,3,41,0,0,0,-1
1293,1,5,oldShoot,4,2,0.873300658,6.042282158,1292,3.983064241,-4.574253119,248.2469376,2,3,41,0,0,0,-1
1294,1,6,AnnualShoot_B_F#1,5,1,0.743156422,0.5,1292,-0.917590836,-2.577552922,250.046665,2,3,41,1,0,0,59
1295,1,6,AnnualShoot_B_V#2,5,2,1.101981032,2.62443997,1294,1.185293368,-4.147763888,250.0475029,2,3,41,1,0,0,54
1296,1,6,AnnualShoot_B_V#3,5,3,1.070278576,2.62443997,1295,3.336101211,-5.644020212,250.1989221,2,3,41,1,0,0,53
1297,1,6,AnnualShoot_B_V#4,5,4,1.043993828,2.62443997,1296,5.544709869,-7.036381316,250.4654995,2,3,41,1,0,0,52
1298,1,6,AnnualShoot_B_V#5,5,5,1.015190733,2.62443997,1297,7.702021392,-8.42589597,251.0159005,2,3,41,1,0,0,51
1299,1,6,AnnualShoot_B_V#6,5,6,0.987827792,2.62443997,1298,9.877270012,-9.843312711,251.3991868,2,3,41,1,0,0,50
