date,reserve_pool,value_mgC_plant,uuid,CropLoad,crop_load_label,simulation_day,days_after_full_bloom,dayOfYear,reserve_pool_label,value_gC_plant,aggregation,unit_conversion
2021-12-02,totalNSC,1313352.445121278,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,11,44,336,Whole-tree NSC reserve,1313.3524451212782,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-12-03,leafNSC,148044.09976300015,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,12,45,337,Leaf NSC,148.04409976300016,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-03,fineRootNSC,94253.32974849391,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,12,45,337,Fine-root NSC,94.25332974849391,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-03,structuralRootNSC,264663.462243142,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,12,45,337,Structural-root NSC,264.663462243142,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-03,internodeNSC,816316.0868025009,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,12,45,337,Total internode NSC reserve,816.3160868025009,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-03,cordonNSC,727071.2333885928,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,12,45,337,Cordon NSC,727.0712333885929,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-03,trunkNSC,58614.70892261209,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,12,45,337,Trunk NSC,58.61470892261209,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-03,totalNSC,1323276.9785571368,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,12,45,337,Whole-tree NSC reserve,1323.2769785571368,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-12-04,leafNSC,148662.90518385402,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,13,46,338,Leaf NSC,148.662905183854,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-04,fineRootNSC,94328.42858021913,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,13,46,338,Fine-root NSC,94.32842858021912,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
