,hourOfDay,azimuth,solarElevation,leafAreaPerPlant,fDiffuseLight,incomingRadiation,Ta,rh,wind,soilWaterPotential,P:eq1_b,P:phi_stem,P:Grmax_a,P:slope_Jmax,P:cx1,waterFlux_optimized,xylemWaterPotential,intWaterPotential_1,intWaterPotential_2,intWaterPotential_3,intWaterPotential_4
P:eq1_b,-2.232020657674141e-15,-0.0002812680311935222,-0.0019514465543057414,0.9982501760985957,-0.00017738378966685863,-0.001044976175368983,0.0008636884121310427,-0.0022139174684026514,0.0003477444996549554,0.0005722749994946956,1.0,0.036394807479481026,-0.009872306274758694,-0.09382523181349275,-0.12349967054635459,-0.01282631862337701,0.07809545826141846,0.08044179836667402,0.08087025898063585,0.08265840278195388,0.08255598525058842
P:phi_stem,1.063086241835296e-15,-8.653262112088005e-05,0.005239688387955175,0.03566593699041078,0.0019823121760125526,-0.00022524679377071657,-0.0014197857902469304,-0.0006242538428955457,0.0018966271539257843,0.0004046854306658424,0.036394807479481026,1.0,-0.03142578786773419,0.054600938003846314,-0.028027868046728067,-0.0034523500679442317,0.004360416790405842,0.0016795048666558086,0.0008994620168802579,-0.0007043133855771191,-0.002724809947787545
P:Grmax_a,-3.3185506729347706e-15,-0.00018503966355410266,-0.013226070104272807,-0.009765846619946278,-0.00428189817117141,-0.0008842695942936238,0.004014861891645128,-0.001572760771234668,-0.003430846895416863,-9.10241683607289e-05,-0.009872306274758694,-0.03142578786773419,1.0,-0.06345234694993566,0.04972766126865227,0.018169115904343797,0.018466873630894113,0.018681925227596152,0.018731629497988025,0.018849476459510295,0.01899956987280812
P:slope_Jmax,-1.6132705953512258e-16,-0.00039911596333912236,0.06005411106500681,-0.09333420253627077,0.021659663839365923,-0.0004475047673149962,-0.01690586952046474,-0.0025298421873979323,0.019745162668295468,0.0032714270933166603,-0.09382523181349275,0.054600938003846314,-0.06345234694993566,1.0,-0.030530350574900528,0.004263740950131727,-0.006838647634897512,-0.007492506086972229,-0.00760535443851612,-0.00798456318241733,-0.008219174026651574
P:cx1,1.9377962195828562e-15,0.0004131744999431899,0.018047086086616645,-0.12374958348416719,0.005555190417535424,0.0017852081285623608,-0.005649975670966552,0.0033999850698454488,0.004141119447551174,-0.00024637665108931216,-0.12349967054635459,-0.028027868046728067,0.04972766126865227,-0.030530350574900528,1.0,0.001156762737760467,-0.007061300160953667,-0.00569825038244734,-0.005275806621093433,-0.004556956530360065,-0.003422538363160615
waterFlux_optimized,0.10706721749244069,0.09377057807386183,0.0931599993140747,-0.01145047237421042,-0.28450242364800965,0.33586585802762703,0.4470416373115624,-0.3177663005289193,-0.018714286645063898,0.7241862885889653,-0.01282631862337701,-0.0034523500679442317,0.018169115904343797,0.004263740950131727,0.001156762737760467,1.0,0.6330027856083229,0.616768071871932,0.6123647108960613,0.6033014379577218,0.5926998168969652
xylemWaterPotential,-0.024393977348635028,-0.018688496330604765,0.02728773379136592,0.07802456266363965,0.17011675484186722,-0.14643872779785347,0.006595627812054484,0.1588916422969094,-0.07199891283273058,0.9440695525415184,0.07809545826141846,0.004360416790405842,0.018466873630894113,-0.006838647634897512,-0.007061300160953667,0.6330027856083229,1.0,0.9997705039702987,0.9996298882343239,0.999236949140025,0.9986042977453069
intWaterPotential_1,-0.027816591572628276,-0.021684374056951807,0.025392581801503715,0.08033114151548805,0.1805654299403868,-0.1579217513665525,-0.00542847137628247,0.17010809878072666,-0.07264113880560166,0.9396697667519458,0.08044179836667402,0.0016795048666558086,0.018681925227596152,-0.007492506086972229,-0.00569825038244734,0.616768071871932,0.9997705039702987,1.0,0.9999820027947632,0.999842085389494,0.9994998295267619
intWaterPotential_2,-0.027895459970819828,-0.021663477738764144,0.025132288537131283,0.08075302279136704,0.18361252993831872,-0.16114650325583552,-0.008625033241840913,0.1728746268341058,-0.07246212561381171,0.9384043349162898,0.08087025898063585,0.0008994620168802579,0.018731629497988025,-0.00760535443851612,-0.005275806621093433,0.6123647108960613,0.9996298882343239,0.9999820027947632,1.0,0.999929077294162,0.999668898897507
intWaterPotential_3,-0.02959290668446863,-0.023092436799026516,0.024351027062888494,0.08251145836350111,0.18929579630986365,-0.1673615532993901,-0.015181867059484405,0.17877909101133427,-0.07263373817763207,0.935654961614982,0.08265840278195388,-0.0007043133855771191,0.018849476459510295,-0.00798456318241733,-0.004556956530360065,0.6033014379577218,0.999236949140025,0.999842085389494,0.999929077294162,1.0,0.9999019589252673
intWaterPotential_4,-0.030617153440369235,-0.02375898976325657,0.02360282598188729,0.08234952867404344,0.19610989926578679,-0.17462609088064382,-0.022524118753662267,0.18536379777862597,-0.07259244513769433,0.9324816248234021,0.08255598525058842,-0.002724809947787545,0.01899956987280812,-0.008219174026651574,-0.003422538363160615,0.5926998168969652,0.9986042977453069,0.9994998295267619,0.999668898897507,0.9999019589252673,1.0
